Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-01-03,21.350282072356787,21.679984996779204,21.221617591304216,21.527196884155273,64731500,0.0,0
2012-01-04,21.567402474067205,22.090102084072715,21.53523712291993,22.033811569213867,80516100,0.0,0
2012-01-05,22.01773271141794,22.29918687811993,21.945360272816334,22.25897979736328,56081400,0.0,0
2012-01-06,22.138353904406667,22.669095271440174,22.138353904406667,22.60476303100586,99455500,0.0,0
2012-01-09,22.556509571714354,22.59671817503482,22.29113892500482,22.307222366333008,59706800,0.0,0
2012-01-10,22.460015871416662,22.63692915518512,22.3152679420599,22.38764190673828,60014400,0.0,0
2012-01-11,22.057941493701946,22.500225520595418,22.00969268966673,22.29114532470703,65582400,0.0,0
2012-01-12,22.411760911067695,22.53238364110075,22.234846142138068,22.516300201416016,49370800,0.0,0
2012-01-13,22.46001720561984,22.717346191406254,22.34743615778872,22.71734619140625,60196100,0.0,0
2012-01-17,22.837970536183104,23.03900901191324,22.653015506623824,22.72538948059082,72395300,0.0,0
2012-01-18,22.765593763358147,22.837967728427312,22.492181347275007,22.701261520385742,64860600,0.0,0
2012-01-19,22.644969765674606,22.870133370710576,22.540430451716006,22.612804412841797,74053500,0.0,0
2012-01-20,23.175714371572216,23.915535995992368,23.119423845877495,23.89141082763672,165902900,0.0,0
2012-01-23,23.76274186130567,24.084404577007803,23.601912037256106,23.907489776611328,76078100,0.0,0
2012-01-24,23.69841521862705,23.77883091653366,23.465211381879936,23.593875885009766,51703300,0.0,0
2012-01-25,23.376752976775315,23.843162164438258,23.376752976775315,23.770788192749023,59231700,0.0,0
2012-01-26,23.810989663153848,23.883363613129497,23.642116601943552,23.722532272338867,49102800,0.0,0
2012-01-27,23.682322091754166,23.74665431285573,23.457158550998138,23.505407333374023,44187700,0.0,0
2012-01-30,23.29633188187883,23.819033008199614,23.183750855927375,23.810991287231445,51114800,0.0,0
2012-01-31,23.85119762697334,23.883364509859746,23.50541130495145,23.746658325195312,50572400,0.0,0
2012-02-01,23.955739649736625,24.16481826365407,23.93161448637624,24.03615379333496,67409900,0.0,0
2012-02-02,24.04419157798419,24.261313411276447,23.89140196931913,24.084400177001953,52223300,0.0,0
2012-02-03,24.237192202297376,24.446272349864156,24.196985130527466,24.317607879638672,41838500,0.0,0
2012-02-06,24.1567816774925,24.301528077828372,24.1004896212599,24.285446166992188,28039700,0.0,0
2012-02-07,24.24523742397621,24.51864984613144,24.164821735024372,24.406068801879883,39242400,0.0,0
2012-02-08,24.33369047443227,24.663393359628163,24.301523591095396,24.655351638793945,49659100,0.0,0
2012-02-09,24.671436695242992,24.76793428396669,24.510605335634803,24.743810653686523,50481600,0.0,0
2012-02-10,24.639268648207615,24.767933116307802,24.414106595933006,24.526687622070312,44605300,0.0,0
2012-02-13,24.631231477336904,24.743814058072957,24.470401629402403,24.59102439880371,33319800,0.0,0
2012-02-14,24.550547912255176,24.655775430652195,24.162013398929215,24.48579216003418,59644000,0.2,0
2012-02-15,24.55054996111318,24.599116393357292,24.30771625599358,24.323904037475586,43311300,0.0,0
